2E1. Total Benefit,NATC (Nurses' Attitudes Toward Computers),Stronge,1985,N/A,The time spent using a computer is out of proportion to the benefits,5,1
3B2. Task Compatibility,NATC (Nurses' Attitudes Toward Computers),Stronge,1985,N/A,Nursing data does not lend itself to computers,16,1
3B4. Quality Care,NATC (Nurses' Attitudes Toward Computers),Stronge,1985,N/A,Computerization of nursing data offers nurses a remarkable opportunity to improve patient care,8,1
3B5. Time on Patient,NATC (Nurses' Attitudes Toward Computers),Stronge,1985,N/A,Computers allow the nurse more time for the professional tasks for which he/she is trained,3,1
3B5. Time on Patient,NATC (Nurses' Attitudes Toward Computers),Stronge,1985,N/A,Computers cause nurses to give less time to quality patient care,10,1
3B5. Time on Patient,NATC (Nurses' Attitudes Toward Computers),Stronge,1985,N/A,Paperwork for nurses has been greatly reduced by the use of computers,14,1
3B5. Time on Patient,NATC (Nurses' Attitudes Toward Computers),Stronge,1985,N/A,Increased computer usage will allow nurses more time to give patient care,19,1
3B6. Communication Impacts,NATC (Nurses' Attitudes Toward Computers),Stronge,1985,N/A,Computers cause a decrease in communication between hospital departments,2,1
3C3. General Efficiency,NATC (Nurses' Attitudes Toward Computers),Stronge,1985,N/A,"Only one person at a time can use a computer terminal and therefore, staff efficiency is inhibited",7,1
3C3. General Efficiency,NATC (Nurses' Attitudes Toward Computers),Stronge,1985,N/A,Computers save steps and allow the nursing staff to become more efficient,17,1
3C4. Easier Work,NATC (Nurses' Attitudes Toward Computers),Stronge,1985,N/A,Computers make nurses' jobs easier,13,1
4F. Perceived Costs,NATC (Nurses' Attitudes Toward Computers),Stronge,1985,N/A,A computer increases costs by increasing the nurses' workload,1,1
4F. Perceived Costs,NATC (Nurses' Attitudes Toward Computers),Stronge,1985,N/A,Part of the increase in costs of health care is because of computers,4,1
4F1. Organization Time Cost,NATC (Nurses' Attitudes Toward Computers),Stronge,1985,N/A,"Orientation for new employees takes longer because of computers, and, therefore, unnecessary work delays occur",15,1
5A2A. Legality,NATC (Nurses' Attitudes Toward Computers),Stronge,1985,N/A,"Because of computers, nurses will face more lawsuits",20,1
5A2B. Privacy,NATC (Nurses' Attitudes Toward Computers),Stronge,1985,N/A,Computers represent a violation of patient privacy,6,1
5A2B. Privacy,NATC (Nurses' Attitudes Toward Computers),Stronge,1985,N/A,Computers contain too much personal patient data to be used in an area as open as a nursing station,9,1
5A2C. Job Security,NATC (Nurses' Attitudes Toward Computers),Stronge,1985,N/A,"The more computers in an institution, the less number of jobs for employees.",18,1
5B. General Opinion,NATC (Nurses' Attitudes Toward Computers),Stronge,1985,N/A,"If I had my way, nurses would not ever have to use computers",11,1
5B. General Opinion,NATC (Nurses' Attitudes Toward Computers),Stronge,1985,N/A,Computers should only be used in the financial department,12,1
1C5. Error Recovery,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,(Eliminated),Is it easy to correct the errors?,3,1
1D1. Up to Date Content,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,(Eliminated),Does the system provide out-of-date information?,2,1
1D1. Up to Date Content,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,(Eliminated),Do you find the information up-to-date?,18,1
1D1. Up to Date Content,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,(Eliminated),Do you thing the reports you receive are somewhat out-of-date?,37,1
1D2. Accurate Content,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,(Eliminated),Does the information you receive require correction?,34,1
1D4. Level of Detail,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,(Eliminated),Does the system provide too much information?,17,1
1D4. Level of Detail,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,(Eliminated),Are the reports complete?,23,1
1D4. Level of Detail,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,(Eliminated),Does the system provide comprehensive information?,30,1
1D4. Level of Detail,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,(Eliminated),Would you like more concise output?,32,1
1D5. Trusted,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,(Eliminated),Do you trust the information provided by the system?,13,1
1D5. Trusted,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,(Eliminated),Do you think the system is reliable?,31,1
1F. Speed,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,(Eliminated),Do you get information fast enough?,40,1
1H. Medium,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,(Eliminated),Would you like the system to be modified or redesigned?,36,1
1H. Medium,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,(Eliminated),Would you like the format modified?,39,1
2A5. Flexibility,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,(Eliminated),Is the system flexible?,1,1
2D. Ease of Use,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,(Eliminated),Is the system difficult to operate?,6,1
2D. Ease of Use,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,(Eliminated),Is the system troublesome?,27,1
2D. Ease of Use,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,(Eliminated),Is the system difficult to interact with?,29,1
2E2. General Opinion,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,(Eliminated),Do you enjoy using the system?,4,1
2E2. General Opinion,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,(Eliminated),Is the system successful?,20,1
2E2. General Opinion,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,(Eliminated),Are you satisfied with the system?,38,1
3D. Convenience,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,(Eliminated),Is the system convenient?,28,1
1D2. Accurate Content,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,Accuracy,Is the system accurate?,10,1
1D2. Accurate Content,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,Accuracy,Are you satisfied with the accuracy of the system?,7,1
1D5. Trusted,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,Accuracy,Do you feel the output is reliable?,16,1
1E. System Reliability,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,Accuracy,Do you find the system dependable?,35,1
1D3. Expected Content,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,Content,Does the information content meet your needs?,33,1
1D4. Level of Detail,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,Content,Does the system provide the precise information  you need?,24,1
1D4. Level of Detail,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,Content,Does the system provide reports that seem to be just about exactly what you need?,19,1
1D4. Level of Detail,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,Content,Does the system provide sufficient information?,11,1
1D6. Relevant Content,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,Content,Do you find the output relevant?,15,1
2D. Ease of Use,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,Ease of Use,Is the system user friendly?,22,1
2D. Ease of Use,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,Ease of Use,Is the system easy to use?,21,1
2E3. Efficiency,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,Ease of Use,Is the system efficient?,25,1
1D7. Format Output,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,Format,Do you think the output is presented in a useful format?,5,1
1D7. Format Output,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,Format,Are you happy with they layout of the output?,9,1
1D8. Clarity,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,Format,Is the information clear?,8,1
1D8. Clarity,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,Format,Is the output easy to understand?,26,1
1D1. Up to Date Content,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,Timeliness,Does the system provide up-to-date information?,12,1
1F. Speed,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,Timeliness,Do you get the information you need in time?,14,1
1B3. Intuitive Use,QUIS (Questionnaire for User Interface Satisfaction),Chin,1988,Learning,Exploring new features by trial and error (difficult-easy),,1
1B4. Number of Steps,QUIS (Questionnaire for User Interface Satisfaction),Chin,1988,Learning,Tasks can be performed in a straight-forward manner (never-always),,1
1C1. Help Menu,QUIS (Questionnaire for User Interface Satisfaction),Chin,1988,Learning,Help messages on the screen (unhelpful-helpful),,1
1C2. Manuals,QUIS (Questionnaire for User Interface Satisfaction),Chin,1988,Learning,Supplemental reference materials (confusing-clear),,1
2B1. Learning,QUIS (Questionnaire for User Interface Satisfaction),Chin,1988,Learning,Learning to operate the system (difficult-easy),,1
2B2B. Command Memory,QUIS (Questionnaire for User Interface Satisfaction),Chin,1988,Learning,Remembering names and use of commands (difficult-easy),,1
2E4. Scales,QUIS (Questionnaire for User Interface Satisfaction),Chin,1988,Overall Reactions to the Software,(terrible-wonderful),,1
2E4. Scales,QUIS (Questionnaire for User Interface Satisfaction),Chin,1988,Overall Reactions to the Software,(difficult-easy),,1
2E4. Scales,QUIS (Questionnaire for User Interface Satisfaction),Chin,1988,Overall Reactions to the Software,(frustrating-satisfying),,1
2E4. Scales,QUIS (Questionnaire for User Interface Satisfaction),Chin,1988,Overall Reactions to the Software,(inadequate power-adequate power),,1
2E4. Scales,QUIS (Questionnaire for User Interface Satisfaction),Chin,1988,Overall Reactions to the Software,(dull-stimulating),,1
2E4. Scales,QUIS (Questionnaire for User Interface Satisfaction),Chin,1988,Overall Reactions to the Software,(rigid-flexible),,1
2B2A. Memory Loading,QUIS (Questionnaire for User Interface Satisfaction),Chin,1988,Screen,Highlighting on the screen simplifies task (not at all-very much),,1
1A1. Size,QUIS (Questionnaire for User Interface Satisfaction),Chin,1988,Screen,Characters on the computer screen (hard to read-easy to read),,1
1B1. Layout,QUIS (Questionnaire for User Interface Satisfaction),Chin,1988,Screen,Organization of information on screen (confusing-very clear),,1
1B1. Layout,QUIS (Questionnaire for User Interface Satisfaction),Chin,1988,Screen,Sequence of screens (confusing-very clear),,1
1C5. Error Recovery,QUIS (Questionnaire for User Interface Satisfaction),Chin,1988,System Capabilities,Correcting your mistakes (difficult-easy),,1
1E. System Reliability,QUIS (Questionnaire for User Interface Satisfaction),Chin,1988,System Capabilities,System reliability (unreliable-reliable),,1
1F. Speed,QUIS (Questionnaire for User Interface Satisfaction),Chin,1988,System Capabilities,System speed (too slow-fast enough),,1
1G. Noise,QUIS (Questionnaire for User Interface Satisfaction),Chin,1988,System Capabilities,System tends to be (noisy-quiet),,1
2B3. Adaptation to Skill Level,QUIS (Questionnaire for User Interface Satisfaction),Chin,1988,System Capabilities,Experienced and inexperienced users' needs are taken into consideration (never-always),,1
1B2A. Phrase Consistency,QUIS (Questionnaire for User Interface Satisfaction),Chin,1988,Terminology and System Information,Use of terms throughout system (inconsistent-consistent),,1
1B2B. Layout Consistency,QUIS (Questionnaire for User Interface Satisfaction),Chin,1988,Terminology and System Information,Position of messages on screen (inconsistent-consistent),,1
1C4. Error Messages,QUIS (Questionnaire for User Interface Satisfaction),Chin,1988,Terminology and System Information,Error messages (unhelpful-helpful),,1
1C6. Prompts and Interaction,QUIS (Questionnaire for User Interface Satisfaction),Chin,1988,Terminology and System Information,Messages on screen which prompt user for input (confusing-clear),,1
1C6. Prompts and Interaction,QUIS (Questionnaire for User Interface Satisfaction),Chin,1988,Terminology and System Information,Computer keeps you informed about what it is doing (never-always),,1
2A1. Compatible Mental Models,QUIS (Questionnaire for User Interface Satisfaction),Chin,1988,Terminology and System Information,Computer terminology is related to the task you are doing (never-always),,1
1C5. Error Recovery,TAM (Technology Acceptance Model),Davis,1989,Perceived Ease of Use,I find it easy to recover from errors encountered while using electronic mail,,1
1C5A. Error Frequency,TAM (Technology Acceptance Model),Davis,1989,Perceived Ease of Use,I make errors frequently when using electronic mail,,1
1C5A. Error Frequency,TAM (Technology Acceptance Model),Davis,1989,Perceived Ease of Use,I need to consult the user manual often when using electronic mail,,1
1C6. Prompts and Interaction,TAM (Technology Acceptance Model),Davis,1989,Perceived Ease of Use,The electronic mail system provides helpful guidance in performing tasks,,1
1E. System Reliability,TAM (Technology Acceptance Model),Davis,1989,Perceived Ease of Use,The electronic mail system often behaves in unexpected ways,,1
2A5. Flexibility,TAM (Technology Acceptance Model),Davis,1989,Perceived Ease of Use,The electronic mail system is rigid and inflexible to interact with,,1
2B2. Retention,TAM (Technology Acceptance Model),Davis,1989,Perceived Ease of Use,It is easy for me to remember how to perform tasks using the electronic mail system,,1
2B2A. Memory Loading,TAM (Technology Acceptance Model),Davis,1989,Perceived Ease of Use,Interacting with the electronic mail system requires a lot of my mental effort,,1
2D. Ease of Use,TAM (Technology Acceptance Model),Davis,1989,Perceived Ease of Use,I often become confused when I use the electronic mail system,,1
2D. Ease of Use,TAM (Technology Acceptance Model),Davis,1989,Perceived Ease of Use,Interacting with the electronic mail system is often frustrating,,1
2D. Ease of Use,TAM (Technology Acceptance Model),Davis,1989,Perceived Ease of Use,I find it easy to get the electronic mail system to do what I want it to do,,1
2D. Ease of Use,TAM (Technology Acceptance Model),Davis,1989,Perceived Ease of Use,I find it cumbersome to use the electronic mail system,,1
2D. Ease of Use,TAM (Technology Acceptance Model),Davis,1989,Perceived Ease of Use,My interaction with the electronic mail system is easy for me to understand,,1
2D. Ease of Use,TAM (Technology Acceptance Model),Davis,1989,Perceived Ease of Use,"Overall, I find the electronic mail system easy to use",,1
2A3. Job Compatibility,TAM (Technology Acceptance Model),Davis,1989,Perceived Usefulness,"Overall, I find the electronic mail system useful in my job",,1
2A4. Task Compatibility,TAM (Technology Acceptance Model),Davis,1989,Perceived Usefulness,The electronic mail system addresses my job-related needs,,1
2A4. Task Compatibility,TAM (Technology Acceptance Model),Davis,1989,Perceived Usefulness,Electronic mail supports critical aspects of my job,,1
3B3. Speed of Tasks,TAM (Technology Acceptance Model),Davis,1989,Perceived Usefulness,Electronic mail enables me to accomplish tasks more quickly,,1
3C1. Quantity Output,TAM (Technology Acceptance Model),Davis,1989,Perceived Usefulness,Using electronic mail allows me to accomplish more work than would otherwise be possible,,1
3C2. Quality Output,TAM (Technology Acceptance Model),Davis,1989,Perceived Usefulness,Using electronic mail improves my job performance,,1
3C2. Quality Output,TAM (Technology Acceptance Model),Davis,1989,Perceived Usefulness,Using electronic mail improves the quality of the work I do,,1
3C3. General Efficiency,TAM (Technology Acceptance Model),Davis,1989,Perceived Usefulness,Using electronic mail saves me time,,1
3C3. General Efficiency,TAM (Technology Acceptance Model),Davis,1989,Perceived Usefulness,Using electronic mail reduces the time I spend on unproductive activities,,1
3C3. General Efficiency,TAM (Technology Acceptance Model),Davis,1989,Perceived Usefulness,Using electronic mail enhances my effectiveness on the job,,1
3C3. General Efficiency,TAM (Technology Acceptance Model),Davis,1989,Perceived Usefulness,Using electronic mail increases my productivity,,1
3C4. Easier Work,TAM (Technology Acceptance Model),Davis,1989,Perceived Usefulness,My job would be difficult to perform without electronic mail,,1
3C4. Easier Work,TAM (Technology Acceptance Model),Davis,1989,Perceived Usefulness,Using electronic mail makes it easier to do my job,,1
3C5. Feeling of Control,TAM (Technology Acceptance Model),Davis,1989,Perceived Usefulness,Using electronic mail gives me greater control over my work,,1
2A2. Style Compatibility,Instrument to Measure the Perceptions of Adopting an Information Technology Innovation,Moore,1991,Compatibility,I think that using a PWS fits well with the way I like to work,,1
2A2. Style Compatibility,Instrument to Measure the Perceptions of Adopting an Information Technology Innovation,Moore,1991,Compatibility,Using a PWS fits into my work style,,1
2A3. Job Compatibility,Instrument to Measure the Perceptions of Adopting an Information Technology Innovation,Moore,1991,Compatibility,Using a PWS is compatible with all aspects of my work,,1
